categoria,cbo2002_ocupacao,competencia,fonte,grau_de_instrucao,horas_contratuais,id,idade,ind_trab_intermitente,ind_trab_parcial,indicador_aprendiz,municipio,raca_cor,regiao,salario,saldo_movimentacao,secao,sexo,subclasse,tam_estab_jan,tipo_de_deficiencia,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,uf
101,422310,202006,1,7,36,2,18,0,0,0,355030,1,3,998,-1,N,3,8220200,7,0,0,1,40,35
101,521110,202006,1,7,44,3,22,0,0,0,520995,6,5,0,1,G,3,4753900,3,0,0,1,20,52
101,783225,202006,1,7,44,11,34,0,0,0,260890,1,2,1045,-1,C,1,2222600,2,0,0,1,31,26
101,848520,202006,1,4,44,12,26,0,0,0,432250,1,4,1332.880004882813,-1,C,1,1013901,6,0,0,1,43,43
101,521135,202006,1,6,44,13,20,0,0,0,421450,6,4,1211,-1,G,1,4520001,3,0,0,1,43,42
106,322205,202006,1,7,44,14,25,0,0,0,261160,1,2,1137.910034179688,-1,N,1,7820500,6,0,0,1,43,26
101,421125,202006,1,7,44,15,27,0,0,0,431440,2,4,1348.900024414063,-1,G,3,4711302,9,0,0,1,31,43
101,521115,202006,1,7,36,16,33,0,0,0,355250,6,3,1396.910034179688,-1,G,3,4752100,3,0,0,1,40,35
101,521110,202006,1,7,44,17,35,0,0,0,317020,6,3,643.3499755859375,1,G,1,4754703,6,0,0,1,20,31
101,322205,202006,1,7,36,18,35,0,0,0,350920,1,3,2113.280029296875,1,Q,1,8660700,7,0,0,1,20,35
101,782510,202006,1,4,44,19,30,0,0,0,314610,3,3,1869.660034179688,-1,F,3,4299599,10,0,0,4,31,31
101,422310,202006,1,7,36,20,21,0,0,0,221100,3,2,998,-1,N,3,8220200,10,0,0,1,31,22
101,717020,202006,1,7,44,21,19,0,0,0,510525,3,5,1191.099975585938,1,F,1,4120400,2,0,0,1,20,51
101,411010,202006,1,7,44,22,24,0,0,0,320245,1,3,1045,1,J,1,6209100,6,0,0,1,20,32
101,421125,202006,1,7,44,23,23,0,0,0,315250,3,3,1195,-1,G,3,4711302,1,0,0,1,43,31
101,731120,202006,1,7,44,24,39,0,0,0,420910,1,4,1445.400024414063,1,C,1,2790299,10,0,0,1,20,42
101,622020,202006,1,7,44,25,24,0,0,0,261110,2,2,1088,1,A,1,132600,7,0,0,1,20,26
106,782305,202006,1,7,40,26,42,0,0,0,355030,3,3,2262.300048828125,1,N,1,7810800,9,0,0,1,20,35
101,519105,202006,1,7,30,27,19,0,0,0,330350,3,3,96480,1,G,1,4771701,4,0,0,1,20,33
101,252405,202006,1,9,44,28,24,0,0,0,240810,1,2,2000,1,G,3,4691500,1,0,0,1,20,24
101,784205,202006,1,5,44,29,21,0,0,0,421200,1,4,1230,-1,C,3,1621800,9,0,0,1,40,42
101,421125,202006,1,7,44,30,39,0,0,0,354140,1,3,1557,-1,G,3,4711302,6,0,0,1,40,35
106,813125,202006,1,7,44,31,32,0,0,0,355030,3,3,1152.430053710938,1,N,3,7820500,10,0,0,1,20,35
101,622110,202006,1,4,44,32,39,0,0,0,270770,3,2,1060.489990234375,1,C,1,1071600,10,0,0,1,20,27
101,411010,202006,1,9,44,33,54,0,0,0,351880,6,3,2184,1,C,3,3313901,4,0,0,1,20,35
101,414110,202006,1,6,44,34,40,0,0,0,355030,6,3,1198.219970703125,1,H,1,5211702,6,0,0,1,20,35
101,411005,202006,1,7,44,35,28,0,0,0,421870,6,4,1400,-1,C,3,2330305,5,0,0,1,31,42
101,521125,202006,1,7,44,36,41,0,0,0,520800,6,5,1150,1,G,3,4711302,3,0,0,1,20,52
101,214105,202006,1,80,44,37,33,0,0,0,350570,1,3,10600,1,M,1,7020400,10,0,0,1,20,35
101,411010,202006,1,9,44,38,39,0,0,0,353460,1,3,1470,-1,H,3,4930202,6,0,0,1,31,35
106,414215,202006,1,7,44,39,24,0,0,0,311860,3,3,1932.25,1,N,1,7820500,7,0,0,1,20,31
101,848520,202006,1,1,44,40,39,0,0,0,421420,6,4,1334.0400390625,1,C,1,1012101,10,0,0,1,20,42
101,514320,202006,1,5,44,41,43,0,0,0,431490,6,4,1128.5,-1,N,1,8111700,6,0,0,1,40,43
101,514320,202006,1,7,36,42,28,0,0,0,410690,6,4,769.4299926757813,1,N,3,8211300,7,0,0,1,20,41
101,521110,202006,1,80,0,43,33,0,9,0,355030,1,3,3217.199951171875,-1,G,1,4618499,7,0,0,1,31,35
101,223605,202006,1,80,36,44,29,0,0,0,221100,1,2,2019.119995117188,-1,Q,3,8610101,7,0,0,1,40,22
101,517330,202006,1,7,25,45,34,0,0,0,330455,3,3,824.3499755859375,-1,N,1,8011101,10,0,0,1,31,33
101,723315,202006,1,7,44,46,34,0,0,0,352044,6,3,2200,1,F,1,4221903,4,0,0,1,20,35
101,352310,202006,1,80,44,47,37,0,0,0,330455,3,3,3000,1,M,3,7120100,10,0,0,1,20,33
101,421125,202006,1,7,44,48,60,0,0,0,316990,2,3,1881,-1,G,1,4711302,2,0,0,1,31,31
101,622610,202006,1,4,44,49,34,0,0,0,355030,3,3,10,-1,A,3,134200,99,0,2,3,43,35
101,514320,202006,1,5,44,50,25,0,0,0,150553,6,1,1102.5,1,N,1,8299799,8,0,0,1,20,15
106,784205,202006,1,5,44,51,42,0,0,0,355220,2,3,1690,1,N,1,7820500,8,0,0,1,20,35
101,784205,202006,1,6,0,52,21,0,0,0,420770,3,4,1205.449951171875,1,C,3,1012101,10,0,0,1,10,42
101,950105,202006,1,5,44,53,62,0,0,0,522140,1,5,1197.599975585938,-1,F,1,4292802,4,0,0,1,31,52
101,715305,202006,1,7,44,54,30,0,0,0,352340,6,3,1841.670043945313,1,F,1,4120400,4,0,0,1,20,35
999,411010,202006,1,7,44,55,21,0,0,0,355030,1,3,1314,-1,G,1,4520001,4,0,0,1,31,35
101,782515,202006,1,4,44,56,34,0,0,0,352040,3,3,2462.68994140625,1,F,1,4313400,7,0,0,1,20,35
101,141605,202006,1,7,44,57,28,0,0,0,351050,1,3,1300,-1,Q,1,8621601,7,0,0,1,31,35
101,782410,202006,1,7,44,58,24,0,0,0,230440,3,2,2077,1,N,1,7711000,7,0,0,1,20,23
101,421125,202006,1,7,36,59,22,0,0,0,314480,3,3,1063.160034179688,-1,H,1,5221400,9,0,0,1,31,31
999,142105,202006,2,9,44,60,61,0,0,0,330455,1,3,7882,-1,N,1,8112500,6,9,9,1,31,33
101,724110,202006,1,7,44,61,42,0,0,0,355030,6,3,2160.39990234375,1,F,1,4321500,8,0,0,1,20,35
101,142305,202006,1,7,44,62,44,0,0,0,430920,1,4,3000,1,C,1,1053800,5,0,0,1,20,43
101,317210,202006,1,7,44,63,43,0,0,0,310620,3,3,1128.239990234375,1,N,1,8220200,1,0,0,1,20,31
101,252545,202006,1,9,44,64,36,0,0,0,421660,1,4,2300,1,N,3,8112500,7,0,0,1,20,42
101,212415,202006,1,7,40,65,31,0,0,0,355030,1,3,3500,1,J,3,6204000,10,0,0,1,20,35
999,521110,202006,1,9,44,66,35,0,0,0,420540,1,4,1529,1,G,3,4729699,1,0,0,1,20,42
101,622610,202006,1,3,44,67,54,0,0,0,355030,2,3,1054,1,A,1,134200,99,0,2,3,20,35
101,517330,202006,1,7,38,68,50,0,0,0,130260,1,1,1305,-1,N,1,8011101,6,0,0,1,31,13
101,724220,202006,1,5,44,4,27,0,0,0,316870,3,3,"1,227.599975585938",-1,C,1,2869100,8,0,0,1,31,31
101,914405,202006,1,3,40,5,59,0,0,0,431490,1,4,"1,248.099975585938",1,N,1,7830200,7,0,0,1,20,43
101,715615,202006,1,7,44,6,31,0,0,0,316720,2,3,"1,045",1,F,1,4321500,5,0,0,1,20,31
101,516210,202006,1,7,44,7,36,0,0,0,510340,3,5,"1,302.619995117188",1,Q,3,8730199,5,0,0,1,20,51
